Section,Section ID,Trade Value,Year,Country
"""Stone And Glass""",13,195346109,2017,
"""Precious Metals""",14,12176653304,2017,
"""Metals""",15,5838851257,2017,
"""Machines""",16,1.08956E+11,2017,
"""Transportation""",17,5771581285,2017,
"""Instruments""",18,17413136662,2017,
"""Weapons""",19,28945014.07,2017,
"""Miscellaneous""",20,601232230.4,2017,
"""Arts and Antiques""",21,63462722.4,2017,
"""Animal Products""",1,505913897.6,2018,
"""Vegetable Products""",2,488668237,2018,
"""Animal and Vegetable Bi-Products""",3,566625361.3,2018,
"""Foodstuffs""",4,9878702408,2018,
"""Mineral Products""",5,55145062145,2018,
"""Chemical Products""",6,48190060471,2018,
"""Plastics and Rubbers""",7,13869622729,2018,
"""Animal Hides""",8,632302162.6,2018,
"""Wood Products""",9,109354204.9,2018,
"""Paper Goods""",10,3001405601,2018,
"""Textiles""",11,1212096140,2018,
"""Footwear and Headwear""",12,213989296.5,2018,
"""Stone And Glass""",13,446098745.8,2018,
"""Precious Metals""",14,13161639605,2018,
"""Metals""",15,6675030634,2018,
"""Machines""",16,1.09321E+11,2018,
"""Transportation""",17,8277276455,2018,
"""Instruments""",18,19662972495,2018,
"""Weapons""",19,18565508.32,2018,
"""Miscellaneous""",20,594834954.3,2018,
"""Arts and Antiques""",21,138931147.6,2018,
,,,,
,,,,
"""Machines""",,31731,,Hong Kong
"""Machines""",,23747,,China
"""Machines""",,15872,,Malaysia
"""Machines""",,13041,,America
"""Machines""",,10459,,TaiWan
"""Mineral Products""",,9203,,Malaysia
"""Mineral Products""",,6705,,Indonesia
"""Mineral Products""",,3248,,China
"""Mineral Products""",,2832,,Australia
"""Mineral Products""",,2325,,Vietnam
"""Transportation""",,4416,,Belgium?
"""Transportation""",,4303,,China
"""Transportation""",,2240,,Indonesia
"""Transportation""",,2021,,Malaysia
"""Transportation""",,2006,,Holland
"""Precious Metals""",,2913,,America
"""Precious Metals""",,2453,,China
"""Precious Metals""",,1321,,Malaysia
"""Precious Metals""",,1301,,Japan
"""Precious Metals""",,1038,,Indonesia
